"uid","namedLocation","domainID","siteID","plotID","trapID","weighDate","setDate","collectDate","ovenStartDate","ovenEndDate","fieldSampleID","massSampleID","samplingProtocolVersion","functionalGroup","dryMass","qaDryMass","remarks","measuredBy"
"6a44faf3-eaed-4ea2-8f20-d6286a1614ba","BART_037.basePlot.ltr","D01","BART","BART_037","BART_037_158","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART037158.20160406","NEON.LTR.BART037158.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",0.09,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"6fa4dbc3-44f2-4a54-953a-1eddf5474456","BART_037.basePlot.ltr","D01","BART","BART_037","BART_037_158","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART037158.20160406","NEON.LTR.BART037158.20160406.NDL","NEON.DOC.001710vE","Needles",0.11,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"acf81a7b-03bd-40a6-a611-9d27c5a02f0e","BART_037.basePlot.ltr","D01","BART","BART_037","BART_037_158","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART037158.20160406","NEON.LTR.BART037158.20160406.OTH","NEON.DOC.001710vE","Other",0.37,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"015782e2-59ab-4491-a12c-f48d1d30ab34","BART_037.basePlot.ltr","D01","BART","BART_037","BART_037_158","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART037158.20160406","NEON.LTR.BART037158.20160406.WDY","NEON.DOC.001710vE","Woody material",0.14,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"fb9470b0-db13-4636-97e9-7982a2f7724c","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART039587.20160406","NEON.LTR.BART039587.20160406.NDL","NEON.DOC.001710vE","Needles",1.07,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"7f29dfc7-0e9c-4824-a20b-05682c0fee87","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART039587.20160406","NEON.LTR.BART039587.20160406.FLR","NEON.DOC.001710vE","Flowers",0.02,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"1f81e452-c20d-4d70-b059-109dc90c0229","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART039587.20160406","NEON.LTR.BART039587.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",4.01,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"1127a38e-9f1a-408a-8b62-b4b1a5acecba","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART039587.20160406","NEON.LTR.BART039587.20160406.WDY","NEON.DOC.001710vE","Woody material",1.53,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"a5ecc741-5e3f-4516-a074-8d7039648855","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART039587.20160406","NEON.LTR.BART039587.20160406.LVS","NEON.DOC.001710vE","Leaves",0.27,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"604ba1ab-5a83-4b4a-bc3d-ff4f12fbeea7","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART039587.20160406","NEON.LTR.BART039587.20160406.SDS","NEON.DOC.001710vE","Seeds",0.46,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
